primaryTitle,originalTitle,genres,critic_score,audience_score
In the Land of Blood and Honey,in the land of blood and honey,"Drama,Romance,War",58%,47%
The Empty Man,the empty man,Drama,76%,61%
Grimcutty,grimcutty,"Drama,Horror,Mystery",25%,23%
October Baby,october baby,"Drama,Family,Mystery",25%,79%
Appendage,appendage,"Drama,Horror",52%,61%
Friends with Kids,friends with kids,"Comedy,Drama,Romance",66%,49%
A Christmas Story Christmas,a christmas story christmas,"Comedy,Family",79%,75%
We're the Millers,we're the millers,"Comedy,Crime",48%,76%
Exit Strategy,exit strategy,"Comedy,Romance",,
Beyond Skyline,beyond skyline,"Action,Adventure,Horror",67%,38%
Killer Joe,killer joe,"Crime,Drama,Thriller",80%,61%
Scouts Guide to the Zombie Apocalypse,scouts guide to the zombie apocalypse,"Action,Comedy,Horror",44%,50%
Bohemian Rhapsody,bohemian rhapsody,"Biography,Drama,Music",60%,85%
Forest,forest,Animation,,
Forest,forest,Animation,,
Ophelia,ophelia,Fantasy,,
Mercenaries,mercenaries,"Action,Drama",0%,13%
Darling Companion,darling companion,"Comedy,Drama,Romance",21%,29%
The Idiotmaker's Gravity Tour,the idiotmaker's gravity tour,"Comedy,Drama",,
The Zookeeper's Wife,the zookeeper's wife,"Biography,Drama,History",64%,76%
Ender's Game,ender's game,"Action,Adventure,Sci-Fi",62%,65%
The Lords of Salem,the lords of salem,"Horror,Thriller",47%,30%
Barely Lethal,barely lethal,"Action,Comedy",26%,38%
Crayon,crayon,Drama,,
The Rider,the rider,"Action,Sci-Fi",97%,82%
Saltburn,saltburn,"Drama,Thriller",71%,79%
Snow White and the Huntsman,snow white and the huntsman,"Action,Adventure,Drama",49%,52%
At the Gates,at the gates,"Drama,Mystery,Thriller",70%,100%
Jersey Boys,jersey boys,"Biography,Drama,Music",51%,62%
Your Sister's Sister,your sister's sister,"Comedy,Drama,Romance",84%,66%
Unplanned,unplanned,Drama,42%,94%
Enemy Within,enemy within,Action,,50%
I Don't Know How She Does It,i don't know how she does it,"Comedy,Romance",17%,32%
Top Gun: Maverick,top gun: maverick,"Action,Drama",96%,99%
Moonrise Kingdom,moonrise kingdom,"Adventure,Comedy,Drama",93%,86%
Sound of My Voice,sound of my voice,"Drama,Mystery,Sci-Fi",76%,66%
Delivery Man,delivery man,Drama,40%,47%
Bottoms,bottoms,Comedy,90%,89%
A Dog's Purpose,a dog's purpose,"Adventure,Comedy,Drama",34%,74%
Buck,buck,Documentary,90%,89%
Emergency!,emergency!,"Adventure,Drama",,
InAPPropriate Comedy,inappropriate comedy,Comedy,0%,22%
The Campaign,the campaign,"Action,Thriller",66%,51%
Like Crazy,like crazy,"Drama,Romance",71%,62%
The To Do List,the to do list,"Comedy,Romance",56%,46%
This Is 40,this is 40,"Comedy,Drama,Romance",51%,50%
In the Fire,in the fire,"Horror,Thriller",15%,29%
Persecuted,persecuted,"Action,Drama,Mystery",0%,58%
No One Lives,no one lives,"Horror,Thriller",46%,42%
Septien,septien,"Comedy,Drama,Mystery",56%,43%
The Return of Tanya Tucker: Featuring Brandi Carlile,the return of tanya tucker: featuring brandi carlile,Documentary,92%,94%
Arbitrage,arbitrage,"Drama,Thriller",87%,62%
Killing Them Softly,killing them softly,"Crime,Drama,Thriller",74%,44%
The Expendables 2,the expendables 2,"Action,Adventure,Thriller",67%,67%
Scream VI,scream vi,"Horror,Mystery,Thriller",76%,91%
She's Funny That Way,she's funny that way,"Comedy,Drama",45%,35%
Apollo 18,apollo 18,"Horror,Mystery,Sci-Fi",24%,23%
Danny Collins,danny collins,"Comedy,Drama,Music",78%,73%
Nerve,nerve,"Comedy,Drama",,
Jiro Dreams of Sushi,jiro dreams of sushi,Documentary,99%,91%
Apparition,apparition,Horror,,20%
50 to 1,50 to 1,Drama,29%,71%
Rosaline,rosaline,"Comedy,Romance",75%,76%
Paranormal Activity 3,paranormal activity 3,"Horror,Mystery,Thriller",66%,51%
Seberg,seberg,"Biography,Drama,Thriller",35%,51%
Beneath the Darkness,beneath the darkness,"Horror,Mystery,Thriller",0%,15%
John Dies at the End,john dies at the end,"Comedy,Fantasy,Horror",59%,54%
Sing Your Song,sing your song,"Biography,Documentary,Music",95%,79%
Tracers,tracers,Action,24%,41%
About My Father,about my father,Documentary,,
Pirates of the Caribbean: Dead Men Tell No Tales,pirates of the caribbean: dead men tell no tales,"Action,Adventure,Fantasy",30%,60%
The Maze Runner,the maze runner,"Action,Mystery,Sci-Fi",65%,68%
In Their Skin,in their skin,"Horror,Thriller",45%,17%
Zero Dark Thirty,zero dark thirty,"Drama,History,Thriller",91%,80%
Inherent Vice,inherent vice,"Comedy,Crime,Drama",74%,53%
While We're Young,while we're young,"Comedy,Drama,Mystery",84%,51%
As Long as I Live,as long as i live,Documentary,90%,67%
Cirque du Soleil: Worlds Away,cirque du soleil: worlds away,Fantasy,45%,93%
This Is Martin Bonner,this is martin bonner,Drama,93%,69%
Bad Santa 2,bad santa 2,"Comedy,Crime,Drama",23%,34%
American Hustle,american hustle,"Crime,Drama",92%,74%
That Awkward Moment,that awkward moment,"Comedy,Romance",23%,46%
Step Up Revolution,step up revolution,"Drama,Music,Romance",41%,68%
Perfect Match,perfect match,"Comedy,Romance",,
Gotti,gotti,"Biography,Crime,Drama",60%,83%
Son of God,son of god,Documentary,19%,73%
80 for Brady,80 for brady,"Comedy,Drama,Sport",58%,89%
Admission,admission,"Comedy,Drama,Romance",37%,32%
Project Nim,project nim,Documentary,97%,84%
After Earth,after earth,"Action,Adventure,Sci-Fi",12%,36%
Emancipation,emannzipation,Drama,,86%
Phineas and Ferb the Movie: Candace Against the Universe,phineas and ferb the movie: candace against the universe,"Adventure,Animation,Comedy",100%,86%
The Place Beyond the Pines,the place beyond the pines,"Crime,Drama,Thriller",78%,75%
Freaks of Nature,freaks of nature,"Comedy,Horror,Sci-Fi",0%,45%
The Ballad of Genesis and Lady Jaye,the ballad of genesis and lady jaye,"Biography,Documentary,Music",68%,53%
The Nut Job,the nut job,"Adventure,Animation,Comedy",13%,43%
RED 2,red 2,"Action,Comedy,Crime",45%,63%
Greetings from Tim Buckley,greetings from tim buckley,"Biography,Drama,Music",72%,46%
Nightingale,nightingale,,,
Chappie,chappie,"Action,Crime,Drama",32%,56%
Black Panther,black panther,"Action,Adventure,Sci-Fi",,50%
Kandahar,kandahar,"Action,Drama",89%,75%
Bessie,bessie,Documentary,91%,68%
Duchess,duchess,"Action,Crime",,
The Baytown Outlaws,the baytown outlaws,"Action,Comedy,Crime",23%,54%
The Fifth Estate,the fifth estate,"Biography,Crime,Drama",36%,36%
Earth Mama,earth mama,Drama,97%,74%
Honest Thief,honest thief,"Action,Crime,Drama",41%,87%
Old Dads,old dads,Comedy,25%,84%
Titanic 666,titanic 666,"Horror,Thriller",,16%
Ruby Sparks,ruby sparks,"Comedy,Drama,Fantasy",79%,75%
The Words,the words,"Drama,Mystery,Romance",24%,49%
Who's That Girl?,who's that girl?,Comedy,33%,47%
Captain America: The Winter Soldier,captain america: the winter soldier,"Action,Adventure,Sci-Fi",90%,92%
Ai Weiwei: Never Sorry,ai weiwei: never sorry,Documentary,98%,87%
Hunter Killer,hunter killer,"Action,Thriller",38%,67%
Crawl,crawl,"Crime,Thriller",63%,63%
Django Unchained,django unchained,Western,87%,92%
You're Next,you're next,"Drama,Horror,Mystery",80%,60%
Percy Jackson: Sea of Monsters,percy jackson: sea of monsters,"Adventure,Family,Fantasy",42%,54%
End of Watch,end of watch,"Action,Crime,Drama",85%,86%
Resident Evil: Retribution,resident evil: retribution,"Action,Horror,Sci-Fi",28%,51%
Tim and Eric's Billion Dollar Movie,tim and eric's billion dollar movie,Comedy,38%,47%
The Boys in the Boat,the boys in the boat,"Biography,Drama,Sport",57%,97%
Blade Runner 2049,blade runner 2049,"Action,Drama,Mystery",88%,88%
Moon Garden,moon garden,"Drama,Fantasy,Horror",86%,69%
The Nameless,the nameless,"Action,Thriller",20%,42%
To Rome with Love,to rome with love,"Comedy,Music,Romance",47%,40%
Dirty Grandpa,dirty grandpa,Comedy,10%,44%
The Highwaymen,the highwaymen,"Biography,Crime,Drama",59%,76%
Turbo,turbo,"Adventure,Animation,Comedy",,71%
One Man's War,one man's war,"Crime,Drama",,67%
Deepwater Horizon,deepwater horizon,"Action,Drama,History",82%,82%
Safety Not Guaranteed,safety not guaranteed,"Adventure,Comedy,Drama",91%,80%
Conan O'Brien Can't Stop,conan o'brien can't stop,"Comedy,Documentary,Music",82%,68%
Bad Kids Go to Hell,bad kids go to hell,"Comedy,Horror,Mystery",44%,35%
Crooked House,crooked house,"Crime,Drama,Mystery",58%,54%
The East,the east,"Adventure,Crime,Drama",77%,64%
Hatchet III,hatchet iii,"Action,Comedy,Horror",57%,40%
Won't Back Down,won't back down,Drama,35%,61%
Supporting Characters,supporting characters,Comedy,86%,63%
Hello Herman,hello herman,Drama,20%,73%
The Batman,the batman,"Action,Crime,Drama",85%,87%
The Edge of Seventeen,the edge of seventeen,"Comedy,Drama",94%,83%
Date and Switch,date and switch,"Comedy,Drama,Romance",30%,38%
Operation Mincemeat,operation mincemeat,"Drama,War",83%,66%
Catch .44,catch .44,"Action,Thriller",,14%
Monica,monica,"Biography,Drama,Thriller",,
Bol,bol,Drama,,88%
Spotlight,spotlight,"Biography,Crime,Drama",,
Nobody Walks,nobody walks,Drama,41%,23%
The Good Lie,the good lie,Thriller,84%,82%
Miss Bala,miss bala,"Action,Crime,Drama",88%,63%
Penguins of Madagascar,penguins of madagascar,"Action,Adventure,Animation",74%,63%
Magic Mike,magic mike,"Comedy,Drama,Music",78%,60%
The House of Tomorrow,the house of tomorrow,Documentary,,
Sinister,sinister,"Horror,Mystery,Thriller",,36%
Cry Macho,cry macho,Drama,57%,64%
Let's Be Cops,let's be cops,"Action,Comedy,Crime",18%,51%
Officer Down,officer down,"Crime,Drama",,26%
Somewhere Slow,somewhere slow,"Comedy,Drama,Romance",56%,83%
Heaven Is for Real,heaven is for real,"Biography,Drama,Family",51%,66%
Black Rock,black rock,"Horror,Thriller",53%,24%
Arthur Newman,arthur newman,"Comedy,Drama",20%,25%
The Big Wedding,the big wedding,"Comedy,Drama,Romance",7%,40%
Knife Fight,knife fight,Drama,28%,27%
Seven Psychopaths,seven psychopaths,"Comedy,Crime",83%,71%
Miracle at Manchester,miracle at manchester,"Drama,Family,Sport",,
Shot Through the Heart,shot through the heart,"Action,Comedy,Thriller",,83%
Miss Peregrine's Home for Peculiar Children,miss peregrine's home for peculiar children,"Adventure,Drama,Family",64%,60%
Amityville: The Awakening,amityville: the awakening,"Horror,Thriller",29%,32%
The Brass Teapot,the brass teapot,"Comedy,Fantasy,Thriller",31%,51%
The Guest,the guest,Drama,,
Everly,everly,"Action,Thriller",29%,29%
The Song,the song,"Documentary,Music",31%,82%
UglyDolls,uglydolls,"Adventure,Animation,Comedy",29%,54%
The Last Day of Summer,the last day of summer,Drama,,67%
Nimona,nimona,"Action,Adventure,Animation",92%,91%
Ford v Ferrari,ford v ferrari,"Action,Biography,Drama",92%,98%
The Hangover Part III,the hangover part iii,"Comedy,Crime",20%,44%
The Hunger Games: Catching Fire,the hunger games: catching fire,"Action,Adventure,Sci-Fi",90%,89%
Aftersun,aftersun,"Drama,Mystery,Thriller",96%,81%
Crooked Arrows,crooked arrows,"Drama,Sport",41%,62%
Sex Tape,sex tape,"Comedy,Romance",16%,33%
Kiss of the Damned,kiss of the damned,"Drama,Horror,Romance",68%,39%
The Hitman's Bodyguard,the hitman's bodyguard,"Action,Comedy,Crime",44%,67%
American Assassin,american assassin,"Action,Thriller",,
Closed Circuit,closed circuit,Documentary,,
The Tutor,the tutor,"Mystery,Thriller",,
A Million Miles Away,a million miles away,"Documentary,Music",,
Father Figures,father figures,"Comedy,Drama",,
Compliance,compliance,"Crime,Drama,Thriller",89%,60%
A Most Wanted Man,a most wanted man,"Crime,Drama,Thriller",86%,65%
King Arthur: Legend of the Sword,king arthur: legend of the sword,"Action,Adventure,Drama",31%,69%
The Neon Demon,the neon demon,"Horror,Thriller",59%,51%
Rules Don't Apply,rules don't apply,"Comedy,Drama,Romance",55%,34%
Acidman,acidman,Drama,76%,71%
The Two Faces of January,the two faces of january,"Crime,Mystery,Romance",80%,48%
Dumbbells,dumbbells,Comedy,14%,60%
Someone Marry Barry,someone marry barry,Comedy,20%,45%
Toy Story 4,toy story 4,"Adventure,Animation,Comedy",97%,94%
The Good Dinosaur,the good dinosaur,"Action,Adventure,Animation",75%,64%
Descendants,descendants,Action,90%,67%
Leave No Trace,leave no trace,"Crime,Documentary",100%,79%
Pain & Gain,pain & gain,"Action,Biography,Comedy",50%,47%
Thor: The Dark World,thor: the dark world,"Action,Adventure,Fantasy",67%,75%
Geostorm,geostorm,"Action,Sci-Fi,Thriller",18%,35%
Pitch Perfect,pitch perfect,"Comedy,Music,Romance",82%,83%
Gerhard Richter Painting,gerhard richter painting,Documentary,89%,73%
The Angry Birds Movie,the angry birds movie,"Action,Adventure,Animation",44%,47%
Cloudy with a Chance of Meatballs 2,cloudy with a chance of meatballs 2,"Adventure,Animation,Comedy",71%,66%
What Happens Later,what happens later,"Comedy,Romance",51%,28%
Sea Wolves,sea wolves,"Documentary,History,War",,
Robot & Frank,robot & frank,"Comedy,Crime,Drama",86%,75%
Chernobyl Diaries,chernobyl diaries,"Horror,Mystery,Thriller",17%,28%
Good Riddance,good riddance,Documentary,,
It's a Disaster,it's a disaster,"Comedy,Drama",79%,59%
Hell Fest,hell fest,"Horror,Mystery,Thriller",39%,41%
Machete Kills,machete kills,"Action,Comedy,Crime",29%,34%
The 33,the 33,"Biography,Drama,History",48%,59%
Sting,sting,"Horror,Sci-Fi,Thriller",70%,65%
A Tourist's Guide to Love,a tourist's guide to love,"Adventure,Comedy,Romance",68%,66%
Monsieur Lazhar,monsieur lazhar,"Comedy,Drama",98%,86%
Scenic Route,scenic route,"Drama,Horror,Thriller",65%,50%
Guardians of the Galaxy,guardians of the galaxy,"Action,Adventure,Comedy",92%,92%
Ek Tha Tiger,ek tha tiger,"Action,Adventure,Drama",75%,49%
The Smurfs 2,the smurfs 2,"Adventure,Animation,Comedy",14%,56%
Diary of a Wimpy Kid: Dog Days,diary of a wimpy kid: dog days,"Comedy,Family",52%,63%
Identity Thief,identity thief,"Comedy,Crime,Drama",19%,53%
12 Years a Slave,12 years a slave,"Biography,Drama,History",95%,90%
The Reluctant Fundamentalist,the reluctant fundamentalist,"Drama,Thriller",57%,61%
Laggies,laggies,"Comedy,Drama,Romance",65%,50%
The Last Exorcism Part II,the last exorcism part ii,"Horror,Thriller",15%,26%
The Great Wall,the great wall,"Action,Adventure,Fantasy",,
Shining Star,shining star,Romance,,67%
Carlos,carlos,"Biography,Documentary",,
Freud's Last Session,freud's last session,Drama,45%,72%
Inside Llewyn Davis,inside llewyn davis,"Drama,Music",92%,74%
Neil Young Journeys,neil young journeys,"Documentary,Music",89%,60%
A Glimpse Inside the Mind of Charles Swan III,a glimpse inside the mind of charles swan iii,Comedy,16%,25%
Synchronicity,synchronicity,"Drama,Mystery,Romance",,
American Made,american made,Thriller,,
Europa Report,europa report,"Drama,Mystery,Sci-Fi",80%,57%
Diana Vreeland: The Eye Has to Travel,diana vreeland: the eye has to travel,"Biography,Documentary",95%,79%
The English Teacher,the english teacher,"Comedy,Drama",43%,31%
Gentlemen,gentlemen,"Drama,Romance,Thriller",,43%
13 Sins,13 sins,"Horror,Thriller",66%,45%
Benediction,benediction,Drama,92%,65%
Muhammad Ali's Greatest Fight,muhammad ali's greatest fight,"Biography,Drama",38%,69%
Song to Song,song to song,"Drama,Music,Romance",43%,37%
Smashed,smashed,Drama,83%,68%
Open Grave,open grave,"Horror,Mystery,Sci-Fi",24%,39%
Spinning Gold,spinning gold,"Biography,Drama,Music",30%,82%
Hell or High Water,hell or high water,"Crime,Drama,Thriller",97%,88%
Happy Christmas,happy christmas,Drama,77%,37%
He's Way More Famous Than You,he's way more famous than you,Comedy,45%,46%
Holy Motors,holy motors,"Drama,Fantasy",92%,71%
Chaos Walking,chaos walking,"Action,Adventure,Fantasy",21%,71%
Book Club: The Next Chapter,book club: the next chapter,"Comedy,Romance",46%,84%
Barfi!,barfi!,"Comedy,Drama,Romance",80%,86%
Java Heat,java heat,"Action,Adventure,Crime",7%,29%
Our Son,our son,Drama,86%,78%
The Best Man Holiday,the best man holiday,"Comedy,Drama",71%,83%
A Dark Truth,a dark truth,"Action,Drama,Thriller",0%,36%
Trouble with the Curve,trouble with the curve,"Drama,Romance,Sport",51%,66%
Upstream Color,upstream color,"Drama,Mystery,Sci-Fi",87%,69%
The Mean One,the mean one,"Comedy,Horror",21%,49%
The Artifice Girl,the artifice girl,"Mystery,Sci-Fi,Thriller",91%,74%
The Boy Next Door,the boy next door,Drama,,22%
Lifemark,lifemark,"Biography,Drama",83%,96%
Amen,amen,Drama,67%,82%
Maybe I Do,maybe i do,"Comedy,Romance",32%,61%
Nativity 2: Danger in the Manger!,nativity 2: danger in the manger!,"Comedy,Family",36%,50%
Captain Underpants: The First Epic Movie,captain underpants: the first epic movie,"Action,Adventure,Animation",87%,62%
Bad Johnson,bad johnson,"Comedy,Fantasy,Romance",28%,22%
The Wrath of Becky,the wrath of becky,"Action,Thriller",86%,77%
Scrooge: A Christmas Carol,scrooge: a christmas carol,"Adventure,Animation,Comedy",38%,67%
Elvis & Nixon,elvis & nixon,"Comedy,History",76%,57%
Assassin's Creed,assassin's creed,"Action,Adventure,Sci-Fi",18%,42%
Dumb and Dumber To,dumb and dumber to,Comedy,30%,35%
"McFarland, USA","mcfarland, usa","Biography,Drama,Sport",80%,88%
Dead Man Down,dead man down,"Action,Adventure,Crime",41%,47%
Spring Breakers,spring breakers,"Crime,Drama,Thriller",68%,38%
Tammy,tammy,"Comedy,Romance",24%,36%
Dawn of the Planet of the Apes,dawn of the planet of the apes,"Action,Adventure,Drama",91%,88%
Steve Jobs: The Lost Interview,steve jobs: the lost interview,Documentary,100%,84%
He's Watching,he's watching,Horror,,
Paranormal Activity 4,paranormal activity 4,"Horror,Mystery",23%,34%
Transformers: Age of Extinction,transformers: age of extinction,"Action,Adventure,Sci-Fi",18%,50%
My Big Fat Greek Wedding 3,my big fat greek wedding 3,"Comedy,Drama,Romance",31%,71%
Raze,raze,"Action,Drama,Horror",45%,30%
Authors Anonymous,authors anonymous,Comedy,8%,16%
The Starling Girl,the starling girl,Drama,92%,97%
Footnote,footnote,Documentary,88%,72%
Jurassic World: Fallen Kingdom,jurassic world: fallen kingdom,"Comedy,Sci-Fi",46%,48%
Hacksaw Ridge,hacksaw ridge,"Biography,Drama,History",84%,91%
The House with a Clock in Its Walls,the house with a clock in its walls,"Comedy,Family,Fantasy",65%,45%
Pixels,pixels,"Action,Comedy,Fantasy",18%,46%
The Invisible War,the invisible war,"Crime,Documentary",99%,84%
The Perfect Guy,the perfect guy,Romance,18%,51%
Matchmaker,matchmaker,Documentary,,
Theater Camp,theater camp,Comedy,86%,78%
Shut Up and Play the Hits,shut up and play the hits,"Documentary,Music",86%,84%
Beasts of the Southern Wild,beasts of the southern wild,"Adventure,Drama,Fantasy",87%,76%
Detropia,detropia,Documentary,86%,64%
Searching for Sugar Man,searching for sugar man,"Biography,Documentary,Music",95%,92%
The Queen of Versailles,the queen of versailles,Documentary,95%,73%
San Andreas,san andreas,"Action,Adventure,Thriller",49%,52%
Second Act,second act,"Comedy,Drama,Romance",,
You Are So Not Invited to My Bat Mitzvah,you are so not invited to my bat mitzvah,Comedy,91%,60%
West of Memphis,west of memphis,"Crime,Documentary",95%,87%
The Bling Ring,the bling ring,"Biography,Crime,Drama",,33%
Candy Cane Lane,candy cane lane,"Comedy,Family,Fantasy",46%,45%
The Color of Time,the color of time,"Biography,Drama,Romance",5%,18%
Please Don't Destroy: The Treasure of Foggy Mountain,please don't destroy: the treasure of foggy mountain,"Action,Adventure,Comedy",42%,90%
